,Date,Average,Ticker,Commodity
0,2025-01-16,,CMOC,cobalt
1,2025-01-17,,CMOC,cobalt
2,2025-01-21,,CMOC,cobalt
3,2025-01-22,,CMOC,cobalt
4,2025-01-23,,CMOC,cobalt
5,2025-01-24,,CMOC,cobalt
6,2025-01-27,,CMOC,cobalt
7,2025-01-28,,CMOC,cobalt
8,2025-01-29,,CMOC,cobalt
9,2025-01-30,,CMOC,cobalt
10,2025-01-31,,CMOC,cobalt
11,2025-02-03,,CMOC,cobalt
12,2025-02-04,,CMOC,cobalt
13,2025-02-05,,CMOC,cobalt
14,2025-02-06,,CMOC,cobalt
15,2025-02-07,,CMOC,cobalt
16,2025-02-10,,CMOC,cobalt
17,2025-02-11,,CMOC,cobalt
18,2025-02-12,,CMOC,cobalt
19,2025-02-13,,CMOC,cobalt
20,2025-02-14,,CMOC,cobalt
21,2025-02-18,,CMOC,cobalt
22,2025-02-19,,CMOC,cobalt
23,2025-02-20,,CMOC,cobalt
24,2025-02-21,,CMOC,cobalt
25,2025-02-24,,CMOC,cobalt
26,2025-02-25,,CMOC,cobalt
27,2025-02-26,,CMOC,cobalt
28,2025-02-27,,CMOC,cobalt
29,2025-02-28,,CMOC,cobalt
30,2025-03-03,,CMOC,cobalt
31,2025-03-04,,CMOC,cobalt
32,2025-03-05,,CMOC,cobalt
33,2025-03-06,,CMOC,cobalt
34,2025-03-07,,CMOC,cobalt
35,2025-03-10,,CMOC,cobalt
36,2025-03-11,,CMOC,cobalt
37,2025-03-12,,CMOC,cobalt
38,2025-03-13,,CMOC,cobalt
39,2025-03-14,,CMOC,cobalt
40,2025-03-17,,CMOC,cobalt
41,2025-03-18,,CMOC,cobalt
42,2025-03-19,,CMOC,cobalt
43,2025-03-20,,CMOC,cobalt
44,2025-03-21,,CMOC,cobalt
45,2025-03-24,,CMOC,cobalt
46,2025-03-25,,CMOC,cobalt
47,2025-03-26,,CMOC,cobalt
48,2025-03-27,,CMOC,cobalt
49,2025-03-28,,CMOC,cobalt
50,2025-03-31,,CMOC,cobalt
51,2025-04-01,,CMOC,cobalt
52,2025-04-02,,CMOC,cobalt
53,2025-04-03,,CMOC,cobalt
54,2025-04-04,,CMOC,cobalt
55,2025-04-07,,CMOC,cobalt
56,2025-04-08,,CMOC,cobalt
57,2025-04-09,,CMOC,cobalt
58,2025-04-10,,CMOC,cobalt
59,2025-04-11,,CMOC,cobalt
60,2025-01-16,36.795000076293945,GDX,gold
61,2025-01-17,36.540000915527344,GDX,gold
62,2025-01-21,37.36000061035156,GDX,gold
63,2025-01-22,37.76499938964844,GDX,gold
64,2025-01-23,37.30999946594238,GDX,gold
65,2025-01-24,37.970001220703125,GDX,gold
66,2025-01-27,37.46999931335449,GDX,gold
67,2025-01-28,37.59000015258789,GDX,gold
68,2025-01-29,37.78000068664551,GDX,gold
69,2025-01-30,39.03999900817871,GDX,gold
70,2025-01-31,39.239999771118164,GDX,gold
71,2025-02-03,39.39000129699707,GDX,gold
72,2025-02-04,39.94999885559082,GDX,gold
73,2025-02-05,40.704999923706055,GDX,gold
74,2025-02-06,41.10000038146973,GDX,gold
75,2025-02-07,41.18499946594238,GDX,gold
76,2025-02-10,41.954999923706055,GDX,gold
77,2025-02-11,41.579999923706055,GDX,gold
78,2025-02-12,41.7450008392334,GDX,gold
79,2025-02-13,42.3849983215332,GDX,gold
80,2025-02-14,41.84000015258789,GDX,gold
81,2025-02-18,41.59000015258789,GDX,gold
82,2025-02-19,41.44499969482422,GDX,gold
83,2025-02-20,41.97500038146973,GDX,gold
84,2025-02-21,41.40999984741211,GDX,gold
85,2025-02-24,41.06999969482422,GDX,gold
86,2025-02-25,40.52000045776367,GDX,gold
87,2025-02-26,40.33500099182129,GDX,gold
88,2025-02-27,39.829999923706055,GDX,gold
89,2025-02-28,39.290000915527344,GDX,gold
90,2025-03-03,40.04999923706055,GDX,gold
91,2025-03-04,40.364999771118164,GDX,gold
92,2025-03-05,40.95000076293945,GDX,gold
93,2025-03-06,41.364999771118164,GDX,gold
94,2025-03-07,41.529998779296875,GDX,gold
95,2025-03-10,40.94499969482422,GDX,gold
96,2025-03-11,41.3700008392334,GDX,gold
97,2025-03-12,41.68000030517578,GDX,gold
98,2025-03-13,42.69499969482422,GDX,gold
99,2025-03-14,43.709999084472656,GDX,gold
100,2025-03-17,44.21500015258789,GDX,gold
101,2025-03-18,45.14499855041504,GDX,gold
102,2025-03-19,45.04999923706055,GDX,gold
103,2025-03-20,44.90500068664551,GDX,gold
104,2025-03-21,44.52000045776367,GDX,gold
105,2025-03-24,44.40500068664551,GDX,gold
106,2025-03-25,44.94499969482422,GDX,gold
107,2025-03-26,44.94499969482422,GDX,gold
108,2025-03-27,45.489999771118164,GDX,gold
109,2025-03-28,45.834999084472656,GDX,gold
110,2025-03-31,45.98500061035156,GDX,gold
111,2025-04-01,45.864999771118164,GDX,gold
112,2025-04-02,45.76499938964844,GDX,gold
113,2025-04-03,44.790000915527344,GDX,gold
114,2025-04-04,43.079999923706055,GDX,gold
115,2025-04-07,41.079999923706055,GDX,gold
116,2025-04-08,42.385000228881836,GDX,gold
117,2025-04-09,44.130001068115234,GDX,gold
118,2025-04-10,46.21999931335449,GDX,gold
119,2025-04-11,49.28499984741211,GDX,gold
120,2025-01-16,,GMKN,nickel
121,2025-01-17,,GMKN,nickel
122,2025-01-21,,GMKN,nickel
123,2025-01-22,,GMKN,nickel
124,2025-01-23,,GMKN,nickel
125,2025-01-24,,GMKN,nickel
126,2025-01-27,,GMKN,nickel
127,2025-01-28,,GMKN,nickel
128,2025-01-29,,GMKN,nickel
129,2025-01-30,,GMKN,nickel
130,2025-01-31,,GMKN,nickel
131,2025-02-03,,GMKN,nickel
132,2025-02-04,,GMKN,nickel
133,2025-02-05,,GMKN,nickel
134,2025-02-06,,GMKN,nickel
135,2025-02-07,,GMKN,nickel
136,2025-02-10,,GMKN,nickel
137,2025-02-11,,GMKN,nickel
138,2025-02-12,,GMKN,nickel
139,2025-02-13,,GMKN,nickel
140,2025-02-14,,GMKN,nickel
141,2025-02-18,,GMKN,nickel
142,2025-02-19,,GMKN,nickel
143,2025-02-20,,GMKN,nickel
144,2025-02-21,,GMKN,nickel
145,2025-02-24,,GMKN,nickel
146,2025-02-25,,GMKN,nickel
147,2025-02-26,,GMKN,nickel
148,2025-02-27,,GMKN,nickel
149,2025-02-28,,GMKN,nickel
150,2025-03-03,,GMKN,nickel
151,2025-03-04,,GMKN,nickel
152,2025-03-05,,GMKN,nickel
153,2025-03-06,,GMKN,nickel
154,2025-03-07,,GMKN,nickel
155,2025-03-10,,GMKN,nickel
156,2025-03-11,,GMKN,nickel
157,2025-03-12,,GMKN,nickel
158,2025-03-13,,GMKN,nickel
159,2025-03-14,,GMKN,nickel
160,2025-03-17,,GMKN,nickel
161,2025-03-18,,GMKN,nickel
162,2025-03-19,,GMKN,nickel
163,2025-03-20,,GMKN,nickel
164,2025-03-21,,GMKN,nickel
165,2025-03-24,,GMKN,nickel
166,2025-03-25,,GMKN,nickel
167,2025-03-26,,GMKN,nickel
168,2025-03-27,,GMKN,nickel
169,2025-03-28,,GMKN,nickel
170,2025-03-31,,GMKN,nickel
171,2025-04-01,,GMKN,nickel
172,2025-04-02,,GMKN,nickel
173,2025-04-03,,GMKN,nickel
174,2025-04-04,,GMKN,nickel
175,2025-04-07,,GMKN,nickel
176,2025-04-08,,GMKN,nickel
177,2025-04-09,,GMKN,nickel
178,2025-04-10,,GMKN,nickel
179,2025-04-11,,GMKN,nickel
180,2025-01-16,8.755000114440918,VALE,nickel
181,2025-01-17,8.899999618530273,VALE,nickel
182,2025-01-21,8.979999542236328,VALE,nickel
183,2025-01-22,8.949999809265137,VALE,nickel
184,2025-01-23,8.880000114440918,VALE,nickel
185,2025-01-24,9.0,VALE,nickel
186,2025-01-27,9.059999942779541,VALE,nickel
187,2025-01-28,9.065000057220459,VALE,nickel
188,2025-01-29,9.045000076293945,VALE,nickel
189,2025-01-30,9.275000095367432,VALE,nickel
190,2025-01-31,9.360000133514404,VALE,nickel
191,2025-02-03,9.259999752044678,VALE,nickel
192,2025-02-04,9.425000190734863,VALE,nickel
193,2025-02-05,9.369999885559082,VALE,nickel
194,2025-02-06,9.609999656677246,VALE,nickel
195,2025-02-07,9.575000286102295,VALE,nickel
196,2025-02-10,9.53000020980835,VALE,nickel
197,2025-02-11,9.545000076293945,VALE,nickel
198,2025-02-12,9.570000171661377,VALE,nickel
199,2025-02-13,9.489999771118164,VALE,nickel
200,2025-02-14,9.730000019073486,VALE,nickel
201,2025-02-18,9.805000305175781,VALE,nickel
202,2025-02-19,9.739999771118164,VALE,nickel
203,2025-02-20,10.069999694824219,VALE,nickel
204,2025-02-21,10.144999980926514,VALE,nickel
205,2025-02-24,10.075000286102295,VALE,nickel
206,2025-02-25,9.90500020980835,VALE,nickel
207,2025-02-26,9.860000133514404,VALE,nickel
208,2025-02-27,9.704999923706055,VALE,nickel
209,2025-02-28,9.49500036239624,VALE,nickel
210,2025-03-03,9.49500036239624,VALE,nickel
211,2025-03-04,9.349999904632568,VALE,nickel
212,2025-03-05,9.585000038146973,VALE,nickel
213,2025-03-06,9.769999980926514,VALE,nickel
214,2025-03-07,9.794999599456787,VALE,nickel
215,2025-03-10,9.319999694824219,VALE,nickel
216,2025-03-11,9.34499979019165,VALE,nickel
217,2025-03-12,9.255000114440918,VALE,nickel
218,2025-03-13,9.349999904632568,VALE,nickel
219,2025-03-14,9.730000019073486,VALE,nickel
220,2025-03-17,9.980000019073486,VALE,nickel
221,2025-03-18,10.135000228881836,VALE,nickel
222,2025-03-19,10.15999984741211,VALE,nickel
223,2025-03-20,10.125,VALE,nickel
224,2025-03-21,10.03499984741211,VALE,nickel
225,2025-03-24,10.039999961853027,VALE,nickel
226,2025-03-25,10.085000038146973,VALE,nickel
227,2025-03-26,10.110000133514404,VALE,nickel
228,2025-03-27,10.119999885559082,VALE,nickel
229,2025-03-28,10.079999923706055,VALE,nickel
230,2025-03-31,9.914999961853027,VALE,nickel
231,2025-04-01,10.080000400543213,VALE,nickel
232,2025-04-02,10.099999904632568,VALE,nickel
233,2025-04-03,9.854999542236328,VALE,nickel
234,2025-04-04,9.184999942779541,VALE,nickel
235,2025-04-07,8.809999942779541,VALE,nickel
236,2025-04-08,8.630000114440918,VALE,nickel
237,2025-04-09,8.50499963760376,VALE,nickel
238,2025-04-10,8.894999980926514,VALE,nickel
239,2025-04-11,9.115000247955322,VALE,nickel
240,2025-01-16,93.97137468472732,ALB,lithium
241,2025-01-17,95.91046927972965,ALB,lithium
242,2025-01-21,95.04036226622372,ALB,lithium
243,2025-01-22,91.31631111452185,ALB,lithium
244,2025-01-23,89.39710754706255,ALB,lithium
245,2025-01-24,89.29766824474774,ALB,lithium
246,2025-01-27,88.00493848188282,ALB,lithium
247,2025-01-28,86.56802485120056,ALB,lithium
